Area served,Airport name,IATA,ICAO,Airport type,Operational,Owned/operated by,State,Scheme Covered,Latitude,Longitude,Demand Type,Airport Category,2022,2023,2024,2025,Per Capita Income
Kushinagar,Kushinagar International Airport,KBK,VEKI,International,Yes,AAI,Uttar Pradesh,RCS-UDAN,26.776534,83.889214,,,11155.0,23221.0,17742.0,270.0,108572.0
Lucknow,Chaudhary Charan Singh International Airport,LKO,VILK,International,Yes,Adani Group,Uttar Pradesh,,26.760599,80.889297,,,3303960.0,5220528.0,6184850.0,6438506.0,108572.0
Moradabad,Moradabad Airport,NAN,,Domestic,Yes,AAI,Uttar Pradesh,RCS-UDAN,0.0,0.0,,,0.0,0.0,0.0,572.0,108572.0
Prayagraj,Prayagraj Airport,IXD,VEAB,Domestic (CE),Yes,MoD and AAI,Uttar Pradesh,RCS-UDAN & Krishi-Udan,25.4401,81.733902, Pilgrimage,Mini Hub,441006.0,571067.0,610707.0,1077393.0,108572.0
Shravasti,Shravasti Airport,NAN,VISV,Domestic,Yes,AAI and State Government,Uttar Pradesh,RCS-UDAN,0.0,0.0,,,0.0,0.0,0.0,685.0,108572.0
Varanasi,Lal Bahadur Shastri International Airport,VNS,VEBN,International,Yes,AAI,Uttar Pradesh,Krishi-Udan,25.452171,82.862549, Pilgrimage,Mini Hub,1708220.0,2521442.0,2996698.0,4027810.0,108572.0
Dehradun,Jolly Grant Airport,DED,VIDN,Domestic,Yes,AAI,Uttarakhand,Krishi-Udan,30.189243,78.176651, Leisure,Mini Hub,917949.0,1595977.0,1598297.0,1724978.0,274064.0
Pantnagar,Pantnagar Airport,PGH,VIPT,Domestic,Yes,AAI,Uttarakhand,RCS-UDAN & Krishi-Udan,29.0334,79.473701,,,17666.0,71136.0,110824.0,101013.0,274064.0
Pithoragarh,Naini-Saini Airport,NNS,VIDF,Domestic,Yes,State Government,Uttarakhand,RCS-UDAN & Krishi-Udan,0.0,0.0,,,532.0,404.0,1733.0,16263.0,274064.0
Cooch Behar,Cooch Behar Airport,COH,VECO,Domestic,Yes,AAI,West Bengal,RCS-UDAN,26.3305,89.467201,,,7.0,394.0,4384.0,5478.0,163467.0
Durgapur,Kazi Nazrul Islam Airport,RDP,VEDG,Domestic,Yes,BAPL and AAI,West Bengal,RCS-UDAN,23.6225,87.243, Industrial,Mini Hub,249975.0,492020.0,514760.0,513488.0,163467.0
Kolkata,Behala Airport,NAN,VEBA,Domestic,Yes,AAI,West Bengal,Krishi-Udan,0.0,0.0,,,11036108.0,17768862.0,19784417.0,21831118.0,163467.0
Siliguri,Bagdogra International Airport,IXB,VEBD,Customs,Yes,MoD & AAI,West Bengal,Krishi-Udan,26.6812,88.328598, Leisure,Mini Hub,1980049.0,2555305.0,3118368.0,3219410.0,163467.0
